text,id,label
【方解】当归四逆汤方由桂枝汤去生姜，倍大枣，加当归、通草、细辛组成。方中当归甘温，主入肝经，养血和血以补虚；桂枝辛温，温经散寒以通脉，共为君药。,1142524,"[{'start': 4, 'end': 6, 'text': '当归', 'labels': ['组成']}, {'start': 4, 'end': 9, 'text': '当归四逆汤', 'labels': ['方剂名']}, {'start': 11, 'end': 13, 'text': '桂枝', 'labels': ['组成']}, {'start': 11, 'end': 14, 'text': '桂枝汤', 'labels': ['方剂名']}, {'start': 15, 'end': 17, 'text': '生姜', 'labels': ['组成']}, {'start': 20, 'end': 21, 'text': '枣', 'labels': ['组成']}, {'start': 23, 'end': 25, 'text': '当归', 'labels': ['组成']}, {'start': 26, 'end': 28, 'text': '通草', 'labels': ['组成']}, {'start': 29, 'end': 31, 'text': '细辛', 'labels': ['组成']}, {'start': 36, 'end': 38, 'text': '当归', 'labels': ['组成']}, {'start': 46, 'end': 50, 'text': '养血和血', 'labels': ['功用']}, {'start': 51, 'end': 53, 'text': '补虚', 'labels': ['功用']}, {'start': 54, 'end': 56, 'text': '桂枝', 'labels': ['组成']}, {'start': 59, 'end': 63, 'text': '温经散寒', 'labels': ['功用']}]"
《本草正义》曰：“麻黄轻清上浮，专疏肺郁，宣泄气机，是为治外感第一要药。,1141852,"[{'start': 9, 'end': 11, 'text': '麻黄', 'labels': ['组成']}, {'start': 16, 'end': 20, 'text': '专疏肺郁', 'labels': ['功用']}, {'start': 21, 'end': 25, 'text': '宣泄气机', 'labels': ['功用']}, {'start': 28, 'end': 31, 'text': '治外感', 'labels': ['功用']}]"
更臣以酸苦之芍药，其用有三：一者滋养营阴，以补营血之亏虚；二者柔缓肝急止腹痛，与饴糖相伍，酸甘化阴，养阴缓急而止腹痛拘急；三者与桂枝相配，调和营卫、燮理阴阳。佐以生姜，助桂枝温胃散寒；佐以大枣，助饴糖补益脾虚。生姜、大枣合用，又可调营卫，和阴阳。佐使炙甘草，一则益气补虚；,1142453,"[{'start': 6, 'end': 8, 'text': '芍药', 'labels': ['组成']}, {'start': 16, 'end': 20, 'text': '滋养营阴', 'labels': ['功用']}, {'start': 22, 'end': 28, 'text': '补营血之亏虚', 'labels': ['功用']}, {'start': 35, 'end': 38, 'text': '止腹痛', 'labels': ['功用']}, {'start': 40, 'end': 42, 'text': '饴糖', 'labels': ['组成']}, {'start': 50, 'end': 54, 'text': '养阴缓急', 'labels': ['功用']}, {'start': 55, 'end': 60, 'text': '止腹痛拘急', 'labels': ['功用']}, {'start': 64, 'end': 66, 'text': '桂枝', 'labels': ['组成']}, {'start': 69, 'end': 73, 'text': '调和营卫', 'labels': ['功用']}, {'start': 74, 'end': 78, 'text': '燮理阴阳', 'labels': ['功用']}, {'start': 82, 'end': 83, 'text': '姜', 'labels': ['组成']}, {'start': 85, 'end': 87, 'text': '桂枝', 'labels': ['组成']}, {'start': 87, 'end': 91, 'text': '温胃散寒', 'labels': ['功用']}, {'start': 95, 'end': 96, 'text': '枣', 'labels': ['组成']}, {'start': 98, 'end': 100, 'text': '饴糖', 'labels': ['组成']}, {'start': 100, 'end': 104, 'text': '补益脾虚', 'labels': ['功用']}, {'start': 106, 'end': 107, 'text': '姜', 'labels': ['组成']}, {'start': 109, 'end': 110, 'text': '枣', 'labels': ['组成']}, {'start': 115, 'end': 118, 'text': '调营卫', 'labels': ['功用']}, {'start': 119, 'end': 122, 'text': '和阴阳', 'labels': ['功用']}, {'start': 126, 'end': 128, 'text': '甘草', 'labels': ['组成']}, {'start': 131, 'end': 135, 'text': '益气补虚', 'labels': ['功用']}]"
舌红少苔，脉细数是阴虚内热之征。治当滋补心肾之阴血，清其虚热以安心神。,1142942,"[{'start': 0, 'end': 4, 'text': '舌红少苔', 'labels': ['主治']}, {'start': 5, 'end': 8, 'text': '脉细数', 'labels': ['主治']}, {'start': 9, 'end': 13, 'text': '阴虚内热', 'labels': ['主治']}, {'start': 18, 'end': 25, 'text': '滋补心肾之阴血', 'labels': ['功用']}, {'start': 31, 'end': 34, 'text': '安心神', 'labels': ['功用']}]"
甘草调和诸药，护胃安中，为佐使之用。火降热清，湿浊得利，循经所发诸症皆可相应而愈。,1142276,"[{'start': 0, 'end': 2, 'text': '甘草', 'labels': ['组成']}, {'start': 7, 'end': 11, 'text': '护胃安中', 'labels': ['功用']}, {'start': 18, 'end': 22, 'text': '火降热清', 'labels': ['功用']}]"
使上焦风热得以疏散，肺气得以宣降，则表证解，咳嗽止。,1141836,"[{'start': 22, 'end': 24, 'text': '咳嗽', 'labels': ['主治']}]"
【方解】金铃子散中金铃子味苦性寒，疏肝行气，清泄肝火而止痛，用以为君。延胡索苦辛性温，行气活血，擅长止痛，为臣佐药。两药合用，既可行气活血止痛，又可疏肝泄热，为治疗肝郁化火、气滞血瘀诸痛的良方。,1143067,"[{'start': 4, 'end': 8, 'text': '金铃子散', 'labels': ['方剂名']}, {'start': 4, 'end': 7, 'text': '金铃子', 'labels': ['组成']}, {'start': 9, 'end': 12, 'text': '金铃子', 'labels': ['组成']}, {'start': 17, 'end': 21, 'text': '疏肝行气', 'labels': ['功用']}, {'start': 22, 'end': 26, 'text': '清泄肝火', 'labels': ['功用']}, {'start': 27, 'end': 29, 'text': '止痛', 'labels': ['功用']}, {'start': 35, 'end': 38, 'text': '延胡索', 'labels': ['组成']}, {'start': 43, 'end': 47, 'text': '行气活血', 'labels': ['功用']}, {'start': 50, 'end': 52, 'text': '止痛', 'labels': ['功用']}, {'start': 65, 'end': 69, 'text': '行气活血', 'labels': ['功用']}, {'start': 69, 'end': 71, 'text': '止痛', 'labels': ['功用']}, {'start': 74, 'end': 78, 'text': '疏肝泄热', 'labels': ['功用']}, {'start': 82, 'end': 86, 'text': '肝郁化火', 'labels': ['主治']}, {'start': 87, 'end': 91, 'text': '气滞血瘀', 'labels': ['主治']}]"
【证治机理】 本证乃太阳病误火劫津复下，重伤心阳所致。心阳虚损，温运无力，心动失常，轻则心悸，重则怔忡；心神失养则失眠多梦，烦躁不安；,1142934,"[{'start': 10, 'end': 13, 'text': '太阳病', 'labels': ['主治']}, {'start': 22, 'end': 26, 'text': '心阳所致', 'labels': ['主治']}, {'start': 27, 'end': 31, 'text': '心阳虚损', 'labels': ['主治']}, {'start': 32, 'end': 36, 'text': '温运无力', 'labels': ['主治']}, {'start': 37, 'end': 41, 'text': '心动失常', 'labels': ['主治']}, {'start': 44, 'end': 46, 'text': '心悸', 'labels': ['主治']}, {'start': 49, 'end': 51, 'text': '怔忡', 'labels': ['主治']}, {'start': 52, 'end': 56, 'text': '心神失养', 'labels': ['主治']}, {'start': 57, 'end': 61, 'text': '失眠多梦', 'labels': ['主治']}, {'start': 62, 'end': 66, 'text': '烦躁不安', 'labels': ['主治']}]"
大枣、甘草益气补脾和胃，合人参补中以治胃气之虚；大枣与生姜为伍，调和脾胃，俱为佐药。甘草调和药性，兼作使药。诸药合用，共奏降逆止呃、益气清热之功。【配伍特点】  降清补相伍，主以清降，清而不寒，补而不滞。 ,1143158,"[{'start': 1, 'end': 2, 'text': '枣', 'labels': ['组成']}, {'start': 3, 'end': 5, 'text': '甘草', 'labels': ['组成']}, {'start': 5, 'end': 7, 'text': '益气', 'labels': ['功用']}, {'start': 7, 'end': 11, 'text': '补脾和胃', 'labels': ['功用']}, {'start': 13, 'end': 15, 'text': '人参', 'labels': ['组成']}, {'start': 15, 'end': 17, 'text': '补中', 'labels': ['功用']}, {'start': 25, 'end': 26, 'text': '枣', 'labels': ['组成']}, {'start': 27, 'end': 29, 'text': '生姜', 'labels': ['组成']}, {'start': 32, 'end': 36, 'text': '调和脾胃', 'labels': ['功用']}, {'start': 42, 'end': 44, 'text': '甘草', 'labels': ['组成']}, {'start': 61, 'end': 65, 'text': '降逆止呃', 'labels': ['功用']}, {'start': 66, 'end': 70, 'text': '益气清热', 'labels': ['功用']}]"
枳实、厚朴行气破结消滞，以助腑气下行而通便，为佐药。蜂蜜润燥滑肠，调和诸药，是为使药。诸药合用，使燥热去，腑气通，阴液复，脾津布，而大便自调。,1142083,"[{'start': 0, 'end': 2, 'text': '枳实', 'labels': ['组成']}, {'start': 3, 'end': 5, 'text': '厚朴', 'labels': ['组成']}, {'start': 5, 'end': 11, 'text': '行气破结消滞', 'labels': ['功用']}, {'start': 19, 'end': 21, 'text': '通便', 'labels': ['功用']}, {'start': 26, 'end': 28, 'text': '蜂蜜', 'labels': ['组成']}, {'start': 28, 'end': 32, 'text': '润燥滑肠', 'labels': ['功用']}, {'start': 66, 'end': 70, 'text': '大便自调', 'labels': ['功用']}]"
【方解】龟鹿二仙胶用鹿角胶甘咸而温，通督脉而补阳，且益精补血；龟板胶甘咸而寒，通任脉而养阴，滋补阴血。二药俱为血肉有情之品，合而用之，能峻补阴阳，填精补髓，滋养阴血，共为君药。配人参大补元气，健补脾胃，以助后天气血生化之源；,1142804,"[{'start': 4, 'end': 9, 'text': '龟鹿二仙胶', 'labels': ['方剂名']}, {'start': 10, 'end': 13, 'text': '鹿角胶', 'labels': ['组成']}, {'start': 18, 'end': 21, 'text': '通督脉', 'labels': ['功用']}, {'start': 22, 'end': 24, 'text': '补阳', 'labels': ['功用']}, {'start': 26, 'end': 30, 'text': '益精补血', 'labels': ['功用']}, {'start': 31, 'end': 34, 'text': '龟板胶', 'labels': ['组成']}, {'start': 39, 'end': 42, 'text': '通任脉', 'labels': ['功用']}, {'start': 43, 'end': 45, 'text': '养阴', 'labels': ['功用']}, {'start': 46, 'end': 50, 'text': '滋补阴血', 'labels': ['功用']}, {'start': 68, 'end': 72, 'text': '峻补阴阳', 'labels': ['功用']}, {'start': 73, 'end': 77, 'text': '填精补髓', 'labels': ['功用']}, {'start': 78, 'end': 82, 'text': '滋养阴血', 'labels': ['功用']}, {'start': 89, 'end': 91, 'text': '人参', 'labels': ['组成']}, {'start': 91, 'end': 95, 'text': '大补元气', 'labels': ['功用']}, {'start': 96, 'end': 100, 'text': '健补脾胃', 'labels': ['功用']}]"
【配伍特点】 集退热除蒸之品，重在清透伏热以治标。,1142367,"[{'start': 17, 'end': 21, 'text': '清透伏热', 'labels': ['功用']}]"
因问曰：前医何以不药？尊人曰：彼云满舌皆黑，前人列于不治。予曰：水来克火，焉有苔厚如甲哉？按此起病之初，舌苔必白而厚，此火极水化之象，误以为夹寒，妄肆温表，燔灼火焰，以致热毒阻于中焦，离不能下降，坎不能上升，热气熏蒸，由白而黄，由黄而黑矣。,1142251,
【方解】桂苓甘露散中重用滑石清解暑热，利水渗湿，为君药。配大寒质重之石膏、寒水石助滑石清解暑热，为臣药。泽泻、茯苓、猪苓又助滑石利水渗湿；,1142409,"[{'start': 12, 'end': 14, 'text': '滑石', 'labels': ['组成']}, {'start': 14, 'end': 18, 'text': '清解暑热', 'labels': ['功用']}, {'start': 19, 'end': 23, 'text': '利水渗湿', 'labels': ['功用']}, {'start': 34, 'end': 36, 'text': '石膏', 'labels': ['组成']}, {'start': 37, 'end': 40, 'text': '寒水石', 'labels': ['组成']}, {'start': 41, 'end': 43, 'text': '滑石', 'labels': ['组成']}, {'start': 43, 'end': 47, 'text': '清解暑热', 'labels': ['功用']}, {'start': 52, 'end': 54, 'text': '泽泻', 'labels': ['组成']}, {'start': 55, 'end': 57, 'text': '茯苓', 'labels': ['组成']}, {'start': 58, 'end': 60, 'text': '猪苓', 'labels': ['组成']}, {'start': 62, 'end': 64, 'text': '滑石', 'labels': ['组成']}, {'start': 64, 'end': 68, 'text': '利水渗湿', 'labels': ['功用']}, {'start': 4, 'end': 9, 'text': '桂苓甘露散', 'labels': ['方剂名']}]"
